epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,575.204,1.59501,1.13429,1.22671,0.78708,0.60613,0.68248,0.30023,1.91102,1.16924,1.35494,0.0008912,0.0008912,0.0008912
58,585.211,1.57495,1.1124,1.21478,0.814,0.64359,0.72585,0.33639,1.82127,1.08445,1.30749,0.0008714,0.0008714,0.0008714
59,595.248,1.55833,1.08872,1.19345,0.7635,0.56064,0.65179,0.26764,1.98665,1.25539,1.41317,0.0008516,0.0008516,0.0008516
60,605.28,1.57059,1.11866,1.20347,0.77702,0.55846,0.64717,0.30402,1.82378,1.20757,1.33595,0.0008318,0.0008318,0.0008318
61,615.319,1.55481,1.11502,1.20148,0.78832,0.6084,0.69898,0.31355,1.85946,1.14837,1.32401,0.000812,0.000812,0.000812
62,625.394,1.54513,1.07705,1.19174,0.75919,0.5857,0.64852,0.28526,1.89901,1.22623,1.34746,0.0007922,0.0007922,0.0007922
63,635.433,1.57022,1.07778,1.19416,0.76111,0.57208,0.64965,0.27703,1.9497,1.22712,1.41345,0.0007724,0.0007724,0.0007724
64,645.286,1.54739,1.11398,1.2179,0.79792,0.57775,0.65487,0.27615,1.9969,1.20789,1.43405,0.0007526,0.0007526,0.0007526
65,655.333,1.54528,1.07177,1.18675,0.82595,0.68445,0.75181,0.35758,1.80916,1.00157,1.29561,0.0007328,0.0007328,0.0007328
66,665.289,1.52224,1.04778,1.18783,0.75795,0.45497,0.51123,0.21451,2.11185,1.38967,1.52835,0.000713,0.000713,0.000713
67,675.305,1.53209,1.06972,1.18477,0.7306,0.52667,0.59841,0.24157,2.03264,1.3278,1.42892,0.0006932,0.0006932,0.0006932
68,685.307,1.55111,1.06299,1.18959,0.81498,0.55846,0.66036,0.30442,1.87508,1.17582,1.32998,0.0006734,0.0006734,0.0006734
69,695.266,1.48643,1.01574,1.16547,0.73292,0.57435,0.65652,0.29384,1.89744,1.19211,1.36514,0.0006536,0.0006536,0.0006536
70,705.375,1.50059,1.00962,1.16996,0.76214,0.58116,0.6598,0.28636,1.95573,1.17021,1.40545,0.0006338,0.0006338,0.0006338
71,715.289,1.48389,1.01793,1.16867,0.73569,0.57662,0.65235,0.27552,2.00031,1.1911,1.43253,0.000614,0.000614,0.000614
72,725.187,1.49064,1.01475,1.16169,0.80084,0.57208,0.6564,0.2846,1.93246,1.19165,1.39032,0.0005942,0.0005942,0.0005942
73,735.149,1.47913,0.98937,1.15997,0.75617,0.55732,0.62826,0.27911,1.93494,1.2393,1.37519,0.0005744,0.0005744,0.0005744
74,745.175,1.49291,0.98889,1.15944,0.76864,0.55732,0.62786,0.27985,1.90286,1.22787,1.36766,0.0005546,0.0005546,0.0005546
75,755.153,1.4991,1.01983,1.17108,0.80232,0.64245,0.73524,0.33043,1.84561,1.0892,1.31691,0.0005348,0.0005348,0.0005348
76,765.279,1.47982,0.98312,1.15106,0.74858,0.5664,0.63151,0.27551,1.97351,1.19136,1.41077,0.000515,0.000515,0.000515
77,775.299,1.46761,0.97746,1.15963,0.75388,0.61862,0.67596,0.28678,1.95976,1.15554,1.38907,0.0004952,0.0004952,0.0004952
78,785.223,1.46279,0.97715,1.14655,0.79877,0.58122,0.68379,0.2997,1.90077,1.15561,1.35282,0.0004754,0.0004754,0.0004754
79,795.191,1.46149,0.96743,1.15271,0.7966,0.60159,0.68594,0.30985,1.87497,1.14389,1.34914,0.0004556,0.0004556,0.0004556
80,805.155,1.433,0.94623,1.14251,0.77129,0.62776,0.70386,0.31069,1.90949,1.12344,1.37276,0.0004358,0.0004358,0.0004358
81,815.083,1.42385,0.93651,1.13154,0.78963,0.52406,0.63125,0.26702,1.98897,1.20397,1.42974,0.000416,0.000416,0.000416
82,825.331,1.44371,0.94543,1.12497,0.70067,0.55278,0.62056,0.26543,2.02167,1.23041,1.4405,0.0003962,0.0003962,0.0003962
